,hostname,pair,Pratio,j,k,Pres,Delta
25,24 Sex,bc,1.9500883392226147,2,1,2.0,-0.024955830388692646
43,47 UMa,bc,2.207348596750369,2,1,2.0,0.1036742983751846
46,47 UMa,cd,5.856127143454621,3,2,3.0,0.9520423811515405
83,55 Cnc,eb,19.891345004388693,3,2,3.0,5.630448334796231
55,55 Cnc,bc,3.0290560371305713,3,2,3.0,0.009685345710190418
67,55 Cnc,cf,5.87917176483313,3,2,3.0,0.9597239216110433
94,55 Cnc,fd,18.653941972327623,3,2,3.0,5.217980657442541
98,61 Vir,bc,9.020403321470937,3,2,3.0,2.006801107156979
99,61 Vir,cd,3.235317324636385,3,2,3.0,0.07843910821212836
101,7 CMa,bc,1.2512562814070352,5,1,1.25,0.0010050251256281228
135,BD-08 2823,bc,42.42857142857143,3,2,3.0,13.142857142857144
193,CoRoT-20,bc,181.2146901823831,3,2,3.0,59.40489672746103
205,CoRoT-24,bc,2.299644072437126,2,1,2.0,0.14982203621856294
235,CoRoT-7,bc,4.3322824053464535,3,2,3.0,0.4440941351154845
257,DMPP-1,de,1.9139486467730742,2,1,2.0,-0.043025676613462904
258,DMPP-1,ec,1.1936185641769397,5,1,1.25,-0.04510514865844826
256,DMPP-1,cb,2.8204738760631836,3,2,3.0,-0.059842041312272144
271,K2-166,cb,2.241268293452206,2,1,2.0,0.12063414672610295
272,K2-16,db,2.806254556701942,3,2,3.0,-0.06458181443268603
2650,K2-16,bc,2.5022667123289466,3,2,3.0,-0.16591109589035113
273,K2-50,cb,2.209175469816869,2,1,2.0,0.10458773490843454
279,K2-168,cb,1.96905321038287,2,1,2.0,-0.015473394808565022
313,EPIC 212737443,bc,4.818789972800118,3,2,3.0,0.6062633242667058
315,K2-282,cb,5.912747586167785,3,2,3.0,0.9709158620559283
323,EPIC 220674823,bc,23.35304620285847,3,2,3.0,6.784348734286156
336,EPIC 249893012,bc,4.345915273566799,3,2,3.0,0.4486384245222664
337,EPIC 249893012,cd,2.2879544290834612,2,1,2.0,0.14397721454173062
344,GJ 1061,bc,2.0877028714107366,2,1,2.0,0.043851435705368313
345,GJ 1061,cd,1.9481237853191808,2,1,2.0,-0.025938107340409577
350,GJ 1132,bc,5.481516778481465,3,2,3.0,0.8271722594938217
352,GJ 1148,bc,12.870468825519575,3,2,3.0,3.290156275173192
1669,GJ 143,cb,4.571611041434262,3,2,3.0,0.523870347144754
376,GJ 15 A,bc,664.1440843113437,3,2,3.0,220.38136143711458
399,GJ 317,bc,7.676300578034682,3,2,3.0,1.558766859344894
421,GJ 357,bc,2.321381324541051,2,1,2.0,0.16069066227052553
423,GJ 357,cd,6.100036165572567,3,2,3.0,1.0333453885241888
428,GJ 3998,bc,5.185355710118237,3,2,3.0,0.7284519033727456
471,GJ 581,eb,1.7048586852969196,5,2,1.6666666666666667,0.022915211178151738
464,GJ 581,bc,2.405468837313266,2,1,2.0,0.2027344186566331
477,GJ 667 C,bc,3.910058244660906,3,2,3.0,0.303352748220302
484,GJ 667 C,cf,1.3861125910140295,7,2,1.4,-0.009919577847121719
486,GJ 667 C,fe,1.59483421308871,5,2,1.6666666666666667,-0.04309947214677399
485,GJ 667 C,eg,4.116323907455013,3,2,3.0,0.37210796915167094
495,GJ 676 A,de,9.82919039022358,3,2,3.0,2.2763967967411936
496,GJ 676 A,eb,29.70048036168409,3,2,3.0,8.900160120561363
506,GJ 832,cb,102.49439461883408,3,2,3.0,33.16479820627803
528,GJ 876,dc,15.521531594292643,3,2,3.0,4.173843864764215
522,GJ 876,cb,2.0307596148731317,2,1,2.0,0.015379807436565862
519,GJ 876,be,2.036606528928326,2,1,2.0,0.01830326446416297
537,GJ 9827,bc,3.0174835537240057,3,2,3.0,0.005827851241335225
541,GJ 9827,cd,1.6999248646480905,5,2,1.6666666666666667,0.019954918788854224
571,HAT-P-11,bc,697.0412330496149,3,2,3.0,231.34707768320496
599,HAT-P-13,bc,152.8747618554323,3,2,3.0,49.95825395181077
625,HAT-P-17,bc,155.72828606028716,3,2,3.0,50.90942868676239
780,HAT-P-44,bc,202.78115681790845,3,2,3.0,66.59371893930282
936,HATS-59,bc,262.55146479530123,3,2,3.0,86.51715493176708
968,HD 10180,cd,2.840066045221184,3,2,3.0,-0.05331131825960537
969,HD 10180,de,3.04103827508421,3,2,3.0,0.013679425028069995
972,HD 10180,ef,2.467785707106242,2,1,2.0,0.23389285355312106
973,HD 10180,fg,4.897360703812317,3,2,3.0,0.6324535679374389
975,HD 10180,gh,3.695941450432468,3,2,3.0,0.23198048347748937
993,HD 102329,bc,1.4432592582768091,7,2,1.4,0.030899470197720866
1023,HD 106315,bc,2.204272866314852,2,1,2.0,0.10213643315742593
1056,HD 108874,bc,4.0855345911949685,3,2,3.0,0.3618448637316562
1064,HD 109271,bc,3.9379702837935904,3,2,3.0,0.3126567612645301
1079,HD 113538,bc,6.904671477402203,3,2,3.0,1.3015571591340676
1095,HD 114783,bc,8.74822766862467,3,2,3.0,1.9160758895415568
1104,HD 11506,cb,7.260641869209077,3,2,3.0,1.4202139564030256
1108,HD 116029,bc,1.353731343283582,4,1,1.3333333333333333,0.015298507462686572
1127,HD 11964,cb,51.595884990767615,3,2,3.0,16.198628330255872
1142,HD 125612,cb,134.0604648700164,3,2,3.0,43.6868216233388
1140,HD 125612,bd,5.089401120206808,3,2,3.0,0.6964670400689359
1149,HD 12661,bc,6.5014902420548975,3,2,3.0,1.1671634140182992
1163,HD 128311,bc,2.034214900478788,2,1,2.0,0.017107450239393973
1190,HD 134987,bc,19.36633431583912,3,2,3.0,5.455444771946373
1202,HD 13908,bc,48.034258590444736,3,2,3.0,15.011419530148245
1213,HD 141399,bc,2.1388182973316394,2,1,2.0,0.06940914866581971
1216,HD 141399,cd,5.2963017971186686,3,2,3.0,0.7654339323728895
1217,HD 141399,de,3.4748083753972705,3,2,3.0,0.15826945846575682
1225,HD 142,bc,17.171861595653418,3,2,3.0,4.723953865217806
1249,HD 147018,bc,22.786870422280497,3,2,3.0,6.595623474093499
1255,HD 147873,bc,4.215753542145528,3,2,3.0,0.40525118071517596
1258,HD 148164,bc,15.407091766854359,3,2,3.0,4.13569725561812
1286,HD 15337,bc,3.6118288952198734,3,2,3.0,0.20394296507329113
1300,HD 154857,bc,8.448360254527655,3,2,3.0,1.8161200848425516
1310,HD 156279,bc,31.980160244181608,3,2,3.0,9.660053414727203
1321,HD 159243,bc,19.683042789223457,3,2,3.0,5.561014263074486
1328,HD 159868,cb,3.373504273504273,3,2,3.0,0.12450142450142436
1330,HD 1605,bc,3.7231462231462227,3,2,3.0,0.24104874104874088
1338,HD 160691,bc,4.642052079284881,3,2,3.0,0.5473506930949604
1355,HD 163607,bc,16.910328727750358,3,2,3.0,4.636776242583452
1369,HD 164922,cb,15.852966409291888,3,2,3.0,4.284322136430629
1378,HD 168443,bc,30.111093195660068,3,2,3.0,9.037031065220022
1417,HD 176986,bc,2.591620697093901,3,2,3.0,-0.13612643430203297
1459,HD 183263,bc,7.493201087825947,3,2,3.0,1.4977336959419825
1472,HD 187123,bc,1091.5237497160585,3,2,3.0,362.84124990535287
1505,HD 190360,cb,167.53122334770367,3,2,3.0,54.843741115901224
1547,HD 200964,bc,1.3440860215053765,4,1,1.3333333333333333,0.008064516129032417
1553,HD 202696,bc,1.828118964851294,5,2,1.6666666666666667,0.0968713789107764
1583,HD 207832,bc,7.219966264759169,3,2,3.0,1.4066554215863896
1587,HD 20794,bc,2.19022659022659,2,1,2.0,0.09511329511329492
1590,HD 20794,cd,2.2513087700054846,2,1,2.0,0.12565438500274229
1592,HD 20794,de,1.6279662049186683,5,2,1.6666666666666667,-0.023220277048799077
1635,HD 213885,bc,4.746888748902568,3,2,3.0,0.5822962496341892
1641,HD 215152,bc,1.2643129588766646,5,1,1.25,0.011450367101331693
1642,HD 215152,cd,1.4919456829657134,3,1,1.5,-0.005369544689524404
1643,HD 215152,de,2.319072544015227,2,1,2.0,0.15953627200761344
1659,HD 217107,bc,728.0920620425923,3,2,3.0,241.69735401419743
1676,HD 219134,bc,2.1871134323937915,2,1,2.0,0.09355671619689576
1679,HD 219134,cf,3.3712366473602207,3,2,3.0,0.12374554912007356
1686,HD 219134,fd,2.048235036176277,2,1,2.0,0.024117518088138556
1684,HD 219134,dg,2.01669877970456,2,1,2.0,0.008349389852279954
1687,HD 219134,gh,23.853503184713375,3,2,3.0,6.951167728237792
1695,HD 219828,bc,1249.319732237221,3,2,3.0,415.4399107457403
1735,HD 23472,bc,1.6864496377978424,5,2,1.6666666666666667,0.011869782678705398
1789,HD 30177,bc,4.59405893592528,3,2,3.0,0.53135297864176
1809,HD 3167,bd,8.86685750191999,3,2,3.0,1.9556191673066632
1818,HD 3167,dc,3.507509695616406,3,2,3.0,0.16916989853880202
1825,HD 33142,bc,2.558282208588957,3,2,3.0,-0.14723926380368102
1832,HD 33844,bc,1.6612259100026872,5,2,1.6666666666666667,-0.0032644539983877506
1839,HD 34445,ed,2.3969496695475345,2,1,2.0,0.19847483477376726
1838,HD 34445,dc,1.8212437431068125,5,2,1.6666666666666667,0.09274624586408743
1837,HD 34445,cf,3.1527460753715,3,2,3.0,0.050915358457166736
1840,HD 34445,fb,1.5613179669030735,3,1,1.5,0.040878644602048965
1834,HD 34445,bg,5.394151604050345,3,2,3.0,0.7980505346834482
1847,HD 37124,bc,5.735920921374808,3,2,3.0,0.9119736404582692
1854,HD 37124,cd,2.102766798418972,2,1,2.0,0.05138339920948609
1862,HD 37605,bc,49.44293086060511,3,2,3.0,15.480976953535036
1871,HD 38529,bc,149.2790773084062,3,2,3.0,48.759692436135396
26237,HD 39091,cb,333.94408115479206,3,2,3.0,110.31469371826402
1890,HD 40307,bc,2.2314043836251884,2,1,2.0,0.11570219181259422
1893,HD 40307,cd,2.1223507644973862,2,1,2.0,0.06117538224869312
1895,HD 40307,df,2.525161005950486,3,2,3.0,-0.1582796646831713
1900,HD 40307,fg,3.808048875096974,3,2,3.0,0.2693496250323246
1915,HD 4203,bc,16.13774167715364,3,2,3.0,4.37924722571788
1947,HD 4732,bc,7.584675180455303,3,2,3.0,1.5282250601517677
1949,HD 47366,bc,1.90129472365307,2,1,2.0,-0.049352638173465024
1965,HD 50499,bc,3.4705882352941178,3,2,3.0,0.15686274509803924
1981,HD 5319,bc,1.3733166301284059,7,2,1.4,-0.019059549908281452
1996,HD 60532,bc,2.9722634967805845,3,2,3.0,-0.009245501073138485
2017,HD 65216,cb,3.7850589777195283,3,2,3.0,0.2616863259065094
2025,HD 67087,bc,6.740488358886997,3,2,3.0,1.2468294529623323
